cliente_id,idade,segmento_cliente,tempo_de_conta_meses,renda_mensal_estimada,score_relacionamento,tem_cartao_pre_pago
1,56,digital,1,"12629,78",medio,False
2,69,varejo_tradicional,23,"5489,79",baixo,True
3,46,varejo_tradicional,192,"7243,35",baixo,False
4,32,alta_renda,28,"26569,44",medio,True
5,60,digital,132,"13928,42",alto,False
6,25,varejo_tradicional,169,"7274,95",medio,False
7,38,alta_renda,188,"40714,62",alto,False
8,56,alta_renda,18,"35150,93",baixo,False
9,36,digital,191,"11319,75",baixo,False
10,40,varejo_tradicional,189,"5944,81",medio,False
11,28,baixa_renda,49,"1372,13",medio,False
12,28,universitario,47,"496,51",medio,False
13,41,universitario,115,"552,05",medio,False
14,70,baixa_renda,39,"1261,72",baixo,False
15,53,universitario,217,"562,97",medio,False
16,57,varejo_tradicional,210,"5005,36",baixo,False
17,41,universitario,6,"605,42",medio,True
18,20,varejo_tradicional,211,"3212,28",medio,True
19,39,universitario,53,"571,29",medio,False
20,70,digital,204,"10036,50",medio,True
21,19,varejo_tradicional,25,"6762,15",medio,False
22,41,digital,99,"13559,51",medio,True
23,61,varejo_tradicional,65,"5785,19",alto,False
24,47,varejo_tradicional,133,"5575,90",medio,False
25,55,digital,193,"9219,48",medio,False
26,19,varejo_tradicional,8,"4317,40",medio,False
27,38,universitario,39,"614,95",medio,False
28,50,varejo_tradicional,111,"4347,59",medio,False
29,29,universitario,43,"646,84",medio,False
30,39,baixa_renda,82,"1592,03",baixo,True
31,61,universitario,238,"560,76",baixo,False
32,42,digital,123,"11600,89",medio,False
33,66,alta_renda,201,"27945,78",baixo,False
34,44,varejo_tradicional,133,"5687,48",alto,True
35,59,varejo_tradicional,4,"5385,92",medio,False
36,45,digital,108,"11500,33",medio,False
37,33,varejo_tradicional,93,"4788,99",medio,False
38,32,alta_renda,129,"39988,75",medio,False
39,64,varejo_tradicional,94,"5818,94",medio,True
40,68,universitario,56,"571,35",baixo,False
41,61,universitario,173,"534,52",alto,True
42,72,varejo_tradicional,193,"4102,43",baixo,False
43,69,digital,3,"9681,29",medio,False
44,74,varejo_tradicional,22,"7576,60",alto,True
45,20,digital,200,"8258,27",alto,False
46,54,varejo_tradicional,56,"6851,38",medio,False
47,68,alta_renda,18,"30948,18",medio,True
48,24,alta_renda,153,"37654,25",alto,False
49,38,varejo_tradicional,176,"5267,14",alto,True
50,26,varejo_tradicional,116,"6171,85",medio,False
51,56,universitario,84,"488,87",medio,False
52,35,varejo_tradicional,159,"4178,41",medio,True
53,21,baixa_renda,30,"1094,91",baixo,False
54,42,digital,80,"13423,57",baixo,False
55,31,digital,66,"12119,71",medio,False
56,67,baixa_renda,209,"1409,71",medio,False
57,26,digital,10,"14989,55",medio,False
58,43,alta_renda,199,"35877,35",medio,False
59,70,alta_renda,59,"38455,23",medio,False
60,19,varejo_tradicional,234,"6651,38",baixo,False
61,37,varejo_tradicional,51,"5606,66",medio,False
62,45,alta_renda,123,"33028,62",alto,False
63,64,alta_renda,137,"34253,08",medio,False
64,24,varejo_tradicional,54,"6510,97",baixo,False
65,61,baixa_renda,190,"1468,96",medio,False
66,25,digital,81,"15653,85",alto,True
67,64,varejo_tradicional,137,"4450,01",medio,False
68,52,baixa_renda,9,"1529,25",medio,False
69,31,varejo_tradicional,101,"5663,92",baixo,False
70,34,alta_renda,152,"28809,71",medio,False
71,53,varejo_tradicional,39,"6230,94",baixo,False
72,67,digital,203,"12172,27",baixo,True
73,57,varejo_tradicional,136,"5619,03",medio,True
74,21,digital,153,"13887,52",medio,False
75,19,universitario,110,"606,61",medio,True
76,23,varejo_tradicional,66,"4539,12",medio,False
77,71,digital,10,"11078,64",medio,True
78,59,digital,117,"13294,80",medio,False
79,21,varejo_tradicional,152,"5814,82",alto,True
80,71,baixa_renda,208,"1134,59",medio,True
81,46,varejo_tradicional,83,"6715,34",baixo,True
82,35,digital,187,"11757,98",medio,False
83,43,digital,159,"11386,76",medio,False
84,61,digital,139,"6848,94",alto,True
85,51,varejo_tradicional,134,"3882,36",medio,False
86,27,digital,70,"13153,55",alto,False
87,53,digital,160,"16753,36",medio,False
88,31,universitario,39,"534,73",baixo,True
89,48,baixa_renda,176,"1136,51",alto,False
90,65,digital,13,"10070,44",baixo,True
91,32,varejo_tradicional,59,"4515,92",baixo,False
92,25,varejo_tradicional,67,"6689,06",alto,True
93,31,varejo_tradicional,184,"6753,85",medio,False
94,40,varejo_tradicional,41,"3359,57",baixo,False
95,74,digital,184,"12685,46",medio,False
96,57,varejo_tradicional,35,"5875,97",medio,False
97,38,varejo_tradicional,166,"6631,13",baixo,True
98,33,varejo_tradicional,81,"5179,77",medio,False
99,62,varejo_tradicional,195,"5550,15",medio,True
100,35,varejo_tradicional,34,"5863,38",alto,False
101,64,varejo_tradicional,76,"4488,92",medio,False
102,70,digital,216,"14069,74",medio,False
103,41,digital,70,"13967,07",medio,False
104,43,varejo_tradicional,234,"5390,33",baixo,True
105,42,digital,11,"11239,86",medio,False
106,62,varejo_tradicional,112,"7358,93",medio,True
107,58,varejo_tradicional,27,"6200,80",medio,True
108,46,varejo_tradicional,48,"5924,62",medio,True
109,32,digital,24,"12212,79",baixo,False
110,62,universitario,18,"569,61",baixo,False
111,18,varejo_tradicional,27,"6407,56",medio,False
112,42,varejo_tradicional,54,"5505,36",medio,False
113,24,baixa_renda,55,"1244,59",medio,False
114,26,varejo_tradicional,120,"7022,37",medio,True
115,41,varejo_tradicional,233,"4602,43",alto,False
116,18,baixa_renda,21,"1277,90",alto,False
117,61,baixa_renda,187,"1457,95",medio,False
118,25,digital,115,"13179,89",medio,False
119,41,digital,162,"12885,21",baixo,False
120,28,varejo_tradicional,120,"5633,31",medio,False
121,68,varejo_tradicional,225,"5502,00",medio,False
122,34,digital,58,"12670,83",alto,False
123,25,varejo_tradicional,176,"6744,83",baixo,True
124,52,digital,54,"10207,71",medio,True
125,52,alta_renda,146,"30599,47",alto,False
126,50,alta_renda,3,"36534,60",alto,False
127,22,varejo_tradicional,152,"5319,17",medio,False
128,59,digital,129,"16423,55",baixo,False
129,56,digital,6,"9746,66",baixo,False
130,58,baixa_renda,19,"1268,58",baixo,False
131,45,varejo_tradicional,86,"5656,04",medio,True
132,24,varejo_tradicional,115,"6368,88",baixo,False
133,26,varejo_tradicional,171,"6641,63",baixo,False
134,25,varejo_tradicional,123,"4735,03",medio,False
135,29,varejo_tradicional,136,"6080,61",medio,False
136,51,universitario,197,"724,40",medio,False
137,50,universitario,180,"575,45",alto,False
138,65,varejo_tradicional,73,"4055,63",baixo,False
139,72,digital,47,"13012,86",medio,True
140,40,varejo_tradicional,85,"5943,32",medio,False
141,41,baixa_renda,28,"1607,72",baixo,False
142,54,alta_renda,46,"34141,24",medio,True
143,52,alta_renda,132,"36981,17",medio,False
144,61,baixa_renda,120,"1062,41",medio,False
145,57,varejo_tradicional,216,"4478,21",baixo,True
146,39,varejo_tradicional,136,"4196,18",alto,False
147,44,digital,116,"15107,87",alto,False
148,52,alta_renda,61,"39855,66",baixo,False
149,18,varejo_tradicional,17,"6493,87",medio,False
150,52,varejo_tradicional,34,"4692,17",medio,False
151,54,baixa_renda,20,"1294,04",baixo,False
152,64,varejo_tradicional,208,"5153,61",medio,True
153,31,digital,202,"10629,72",baixo,False
154,20,universitario,162,"471,15",alto,True
155,18,varejo_tradicional,43,"5398,45",medio,False
156,22,varejo_tradicional,10,"4234,67",alto,False
157,43,universitario,94,"584,93",baixo,True
158,72,digital,158,"10746,26",baixo,False
159,31,alta_renda,115,"38153,03",medio,False
160,56,varejo_tradicional,153,"4923,68",alto,False
161,44,varejo_tradicional,127,"5890,51",medio,True
162,26,universitario,185,"496,14",medio,False
163,32,digital,110,"16429,20",medio,False
164,32,varejo_tradicional,191,"2704,38",baixo,False
165,43,universitario,107,"619,28",medio,False
166,59,varejo_tradicional,105,"4677,35",medio,False
167,30,varejo_tradicional,71,"5180,20",baixo,False
168,68,varejo_tradicional,175,"3655,78",baixo,False
169,49,digital,84,"10451,73",medio,True
170,56,digital,209,"10281,69",medio,False
171,66,digital,3,"11744,42",medio,False
172,69,universitario,239,"603,11",medio,False
173,49,alta_renda,46,"36950,61",medio,False
174,21,varejo_tradicional,232,"6275,51",medio,False
175,47,varejo_tradicional,164,"6486,72",medio,False
176,54,varejo_tradicional,26,"5905,22",medio,True
177,40,varejo_tradicional,138,"7159,06",alto,False
178,56,universitario,162,"577,19",medio,True
179,62,universitario,206,"574,34",alto,False
180,32,universitario,8,"608,67",medio,False
181,60,varejo_tradicional,55,"7915,26",baixo,False
182,46,varejo_tradicional,91,"9000,00",medio,False
183,53,digital,138,"10154,80",medio,False
184,30,varejo_tradicional,185,"6610,62",baixo,False
185,49,digital,114,"10316,74",medio,True
186,24,alta_renda,79,"32122,27",medio,False
187,68,digital,101,"8758,73",medio,False
188,39,universitario,86,"630,38",medio,False
189,45,digital,45,"15092,87",medio,False
190,19,varejo_tradicional,50,"4802,03",baixo,False
191,59,digital,64,"11619,15",baixo,False
192,62,varejo_tradicional,95,"4936,15",medio,False
193,74,varejo_tradicional,2,"4816,25",baixo,True
194,70,digital,173,"8715,93",baixo,False
195,23,baixa_renda,95,"1625,48",medio,False
196,45,varejo_tradicional,62,"6535,33",baixo,False
197,45,digital,142,"10169,97",baixo,False
198,61,baixa_renda,74,"1154,38",medio,False
199,61,baixa_renda,222,"1240,69",baixo,False
200,37,universitario,100,"599,92",baixo,True
201,47,varejo_tradicional,111,"4505,53",medio,False
202,28,alta_renda,104,"37136,59",medio,False
203,72,varejo_tradicional,15,"5238,11",medio,False
204,45,digital,14,"12610,25",baixo,False
205,42,varejo_tradicional,159,"6447,70",alto,False
206,56,digital,157,"9451,72",medio,False
207,50,varejo_tradicional,27,"5681,39",medio,False
208,18,digital,85,"10988,81",baixo,False
209,74,varejo_tradicional,9,"5498,03",baixo,False
210,44,varejo_tradicional,20,"6465,10",medio,False
211,74,digital,227,"11436,40",medio,True
212,69,baixa_renda,186,"1592,66",baixo,True
213,30,alta_renda,79,"34131,14",alto,False
214,58,varejo_tradicional,216,"5266,67",medio,False
215,20,universitario,177,"575,35",medio,False
216,56,universitario,57,"564,67",alto,False
217,23,varejo_tradicional,144,"8357,71",alto,False
218,25,varejo_tradicional,100,"5621,09",medio,False
219,44,universitario,75,"577,96",alto,False
220,26,alta_renda,136,"29517,53",alto,False
221,54,digital,67,"10680,15",alto,False
222,50,digital,19,"8707,11",medio,True
223,68,digital,238,"14329,50",medio,False
224,59,varejo_tradicional,105,"5012,12",baixo,False
225,61,universitario,195,"570,83",alto,False
226,41,universitario,164,"618,00",baixo,False
227,32,varejo_tradicional,217,"6286,25",medio,False
228,71,baixa_renda,188,"1065,30",baixo,False
229,49,varejo_tradicional,164,"3476,03",medio,False
230,49,alta_renda,11,"39691,36",medio,False
231,41,digital,51,"11830,11",baixo,False
232,58,varejo_tradicional,126,"5177,30",medio,False
233,69,digital,80,"7639,92",medio,False
234,66,digital,183,"12398,45",medio,False
235,66,varejo_tradicional,54,"4804,38",alto,False
236,69,digital,17,"9492,51",medio,False
237,29,digital,190,"14539,91",baixo,True
238,56,universitario,170,"446,87",alto,False
239,19,varejo_tradicional,24,"6427,12",medio,False
240,20,digital,145,"13240,35",medio,False
241,66,varejo_tradicional,48,"3954,85",medio,True
242,54,universitario,84,"556,94",medio,False
243,66,varejo_tradicional,214,"4056,75",medio,False
244,73,alta_renda,198,"38138,29",baixo,True
245,34,universitario,7,"565,22",medio,False
246,66,digital,142,"11643,83",medio,True
247,19,digital,11,"11559,76",medio,False
248,19,varejo_tradicional,12,"3807,81",medio,True
249,45,varejo_tradicional,110,"6559,74",medio,False
250,71,baixa_renda,133,"1186,90",medio,False
251,40,alta_renda,133,"39953,64",baixo,False
252,54,varejo_tradicional,128,"3855,34",baixo,False
253,49,digital,148,"15579,57",baixo,False
254,50,universitario,54,"608,61",alto,False
255,18,digital,55,"13197,04",alto,True
256,36,varejo_tradicional,186,"4023,49",alto,False
257,19,varejo_tradicional,79,"4633,56",baixo,False
258,70,varejo_tradicional,90,"4811,18",medio,True
259,61,baixa_renda,97,"1525,43",medio,False
260,43,digital,127,"8448,33",medio,False
261,49,digital,30,"10468,93",medio,False
262,23,alta_renda,24,"46932,86",medio,False
263,49,digital,215,"13291,21",medio,False
264,72,baixa_renda,201,"1404,71",medio,True
265,21,digital,131,"11521,79",baixo,False
266,72,varejo_tradicional,122,"5936,54",alto,False
267,28,alta_renda,100,"44096,94",medio,False
268,73,digital,176,"12265,51",medio,False
269,34,varejo_tradicional,71,"6003,80",medio,True
270,55,varejo_tradicional,150,"5378,35",medio,False
271,41,varejo_tradicional,14,"7171,03",medio,True
272,22,digital,48,"13380,02",medio,True
273,69,baixa_renda,29,"1292,96",baixo,False
274,51,alta_renda,50,"36531,66",alto,False
275,23,alta_renda,208,"36654,93",baixo,False
276,39,varejo_tradicional,226,"6032,87",baixo,False
277,28,digital,138,"14461,65",alto,False
278,65,varejo_tradicional,199,"7142,34",baixo,False
279,33,baixa_renda,217,"1128,39",baixo,False
280,50,digital,27,"12938,94",alto,True
281,26,digital,79,"12542,06",baixo,False
282,23,universitario,96,"593,75",baixo,False
283,33,digital,156,"11766,10",baixo,False
284,46,varejo_tradicional,137,"5733,45",alto,False
285,20,alta_renda,71,"47073,22",baixo,False
286,37,alta_renda,80,"23028,78",medio,False
287,53,varejo_tradicional,154,"4697,00",medio,False
288,36,digital,227,"12600,34",baixo,False
289,43,alta_renda,81,"42229,48",baixo,False
290,20,varejo_tradicional,87,"3433,97",alto,False
291,36,digital,8,"9989,33",medio,True
292,37,varejo_tradicional,2,"5328,45",baixo,False
293,49,digital,223,"13856,01",baixo,False
294,24,varejo_tradicional,185,"5064,78",medio,False
295,69,digital,180,"10813,34",medio,False
296,58,varejo_tradicional,186,"4268,78",baixo,False
297,50,digital,123,"10941,52",baixo,False
298,57,alta_renda,121,"41222,07",medio,False
299,56,baixa_renda,96,"1130,07",medio,False
300,35,baixa_renda,93,"1229,24",baixo,False
301,57,digital,3,"12528,06",baixo,False
302,18,varejo_tradicional,136,"5145,95",medio,True
303,28,varejo_tradicional,187,"5064,32",baixo,False
304,45,alta_renda,2,"35433,41",baixo,False
305,74,digital,223,"9980,20",medio,False
