cliente_id,mes_referencia,saldo_medio_mensal,entradas_mensais_media,saidas_mensais_media,numero_movimentacoes_mensais
1,2025-01-01,2913.52,1074.14,448.13,17
2,2025-01-01,2004.78,459.45,1138.47,23
3,2025-01-01,4406.42,345.47,3216.34,17
4,2025-01-01,3278.25,637.57,505.83,28
5,2025-01-01,3803.04,1479.76,2721.84,18
6,2025-01-01,1755.57,685.25,251.07,18
7,2025-01-01,5461.55,611.03,2903.04,22
8,2025-01-01,1192.57,435.75,315.16,24
9,2025-01-01,4776.07,541.35,3554.69,18
10,2025-01-01,2872.15,591.86,1139.01,15
11,2025-01-01,583.12,90.59,252.92,17
12,2025-01-01,870.94,176.09,807.27,16
13,2025-01-01,2568.44,746.65,1831.42,14
14,2025-01-01,3109.04,476.51,1281.37,21
15,2025-01-01,1229.45,156.11,1166.68,15
16,2025-01-01,1784.32,381.27,1515.87,16
17,2025-01-01,1964.54,246.27,961.56,13
18,2025-01-01,5076.36,940.86,1632.89,18
19,2025-01-01,1403.26,207.54,928.78,17
20,2025-01-01,3219.24,1050.43,1202.38,15
21,2025-01-01,427.48,131.57,384.54,22
22,2025-01-01,5217.74,787.94,2467.75,15
23,2025-01-01,986.38,319.93,224.62,17
24,2025-01-01,580.27,84.73,373.14,18
25,2025-01-01,1400.83,463.87,1219.90,21
26,2025-01-01,1087.76,415.13,718.11,22
27,2025-01-01,459.75,158.76,218.00,17
28,2025-01-01,2087.78,163.89,1610.20,11
29,2025-01-01,1983.07,565.67,1725.74,25
30,2025-01-01,1991.09,157.92,1772.85,18
31,2025-01-01,2167.16,317.81,1642.85,19
32,2025-01-01,1346.03,324.03,957.87,10
33,2025-01-01,2569.25,857.09,733.57,13
34,2025-01-01,4646.36,1774.03,1601.93,13
35,2025-01-01,4714.03,851.86,2653.74,14
36,2025-01-01,3659.51,754.83,1262.79,18
37,2025-01-01,2649.86,302.26,1841.21,25
38,2025-01-01,6460.02,1916.42,5975.45,8
39,2025-01-01,2719.43,729.10,1563.81,20
40,2025-01-01,1514.74,208.03,1377.33,17
41,2025-01-01,3896.27,1068.63,396.95,22
42,2025-01-01,634.83,94.73,446.08,12
43,2025-01-01,7914.40,2013.53,3329.42,14
44,2025-01-01,3244.19,1240.60,2582.49,22
45,2025-01-01,2102.31,757.13,1171.53,8
46,2025-01-01,442.76,24.34,317.47,16
47,2025-01-01,362.93,113.25,310.69,18
48,2025-01-01,1514.49,527.11,1171.29,15
49,2025-01-01,1834.94,331.15,1064.88,18
50,2025-01-01,1460.22,494.46,185.66,20
51,2025-01-01,1489.23,429.28,1199.49,15
52,2025-01-01,2302.20,327.92,191.17,19
53,2025-01-01,5270.82,1757.74,1676.63,17
54,2025-01-01,3378.75,1236.59,2170.08,16
55,2025-01-01,2543.29,822.42,217.32,18
56,2025-01-01,2687.58,995.12,1348.22,23
57,2025-01-01,1880.17,502.02,1160.61,21
58,2025-01-01,1623.14,397.05,1171.32,12
59,2025-01-01,1883.59,229.25,170.44,15
60,2025-01-01,1786.01,177.20,719.32,24
61,2025-01-01,5277.78,594.48,4936.77,22
62,2025-01-01,503.55,91.97,165.57,19
63,2025-01-01,1038.16,258.76,288.71,22
64,2025-01-01,2200.78,464.33,1931.99,16
65,2025-01-01,2418.94,598.88,843.14,13
66,2025-01-01,6118.16,1196.29,961.96,11
67,2025-01-01,1334.91,481.30,359.29,17
68,2025-01-01,4755.61,1786.41,1419.88,13
69,2025-01-01,3383.34,266.84,290.84,13
70,2025-01-01,5190.05,1478.15,3517.56,12
71,2025-01-01,1500.32,462.86,1010.45,25
72,2025-01-01,3328.90,1290.36,1336.89,18
73,2025-01-01,2689.03,295.53,1915.53,18
74,2025-01-01,27486.47,3106.26,9731.85,14
75,2025-01-01,3043.93,786.21,1083.70,15
76,2025-01-01,1965.04,396.03,547.50,21
77,2025-01-01,3835.92,1250.20,3181.77,20
78,2025-01-01,1504.39,354.26,309.25,14
79,2025-01-01,1391.84,544.86,1262.47,22
80,2025-01-01,1114.54,93.55,758.74,23
81,2025-01-01,6525.26,1174.71,4484.34,27
82,2025-01-01,2970.58,427.51,1554.28,15
83,2025-01-01,917.99,256.34,575.77,15
84,2025-01-01,1081.20,199.12,335.30,19
85,2025-01-01,1311.56,225.08,693.86,23
86,2025-01-01,1505.50,360.77,469.02,18
87,2025-01-01,1417.26,178.92,868.25,20
88,2025-01-01,1114.86,296.68,1036.25,20
89,2025-01-01,3064.83,501.32,1149.53,11
90,2025-01-01,48313.05,18211.22,28791.62,17
91,2025-01-01,3511.31,418.65,838.42,17
92,2025-01-01,3983.20,972.58,1471.16,19
93,2025-01-01,6589.37,2031.02,1952.59,18
94,2025-01-01,1427.72,511.69,583.51,19
95,2025-01-01,5277.31,1864.47,4453.71,20
96,2025-01-01,1435.72,474.33,469.30,27
97,2025-01-01,1308.25,202.06,1155.27,20
98,2025-01-01,5775.79,1146.52,4980.29,16
99,2025-01-01,4027.93,1484.16,457.17,22
100,2025-01-01,3110.74,222.20,1701.13,18
101,2025-01-01,5043.11,568.99,4542.67,22
102,2025-01-01,1523.96,238.51,222.26,16
103,2025-01-01,2767.68,950.88,205.95,20
104,2025-01-01,1769.67,232.63,567.42,16
105,2025-01-01,3177.46,363.09,2145.08,20
106,2025-01-01,1326.78,112.32,1006.99,14
107,2025-01-01,3283.17,417.71,2126.75,20
108,2025-01-01,676.41,143.50,527.70,13
109,2025-01-01,1006.18,148.46,560.93,16
110,2025-01-01,1288.18,459.41,501.10,21
111,2025-01-01,1843.45,95.69,1623.51,14
112,2025-01-01,2186.03,247.65,986.33,20
113,2025-01-01,4403.47,371.48,1346.85,22
114,2025-01-01,3071.94,294.40,957.32,16
115,2025-01-01,5144.19,1014.81,4842.52,14
116,2025-01-01,2631.48,690.78,1714.33,24
117,2025-01-01,2674.40,650.34,934.68,17
118,2025-01-01,736.17,229.02,471.57,16
119,2025-01-01,2845.62,150.72,2406.25,16
120,2025-01-01,7594.14,1606.12,6480.24,14
121,2025-01-01,3140.35,248.57,203.94,13
122,2025-01-01,793.85,235.38,345.98,18
123,2025-01-01,2095.25,241.21,1967.99,23
124,2025-01-01,1697.66,120.17,334.44,19
125,2025-01-01,3834.32,1226.22,1078.03,16
126,2025-01-01,44036.22,11536.67,25466.16,15
127,2025-01-01,1510.23,592.69,158.86,21
128,2025-01-01,2903.37,846.62,2515.04,16
129,2025-01-01,3505.92,454.95,2083.95,17
