cartao_id,cliente_id,data_transacao,valor_transacao,categoria_estabelecimento,canal_transacao
1,2,2025-01-13,198243.91,varejo,fisico
1,2,2025-01-27,160658.46,alimentacao,online
1,2,2025-01-06,237901.80,transporte,online
1,2,2025-01-02,89344.50,varejo,fisico
1,2,2025-02-13,242530.82,varejo,online
1,2,2025-03-26,214463.99,streaming,fisico
1,2,2025-03-08,52976.75,transporte,online
1,2,2025-03-27,156155.54,streaming,online
1,2,2025-03-24,137522.55,streaming,fisico
1,2,2025-03-23,167890.35,transporte,online
1,2,2025-03-27,233971.19,streaming,online
2,4,2025-01-22,216290.00,jogos,online
2,4,2025-01-11,220636.52,varejo,fisico
2,4,2025-02-19,42173.48,varejo,online
2,4,2025-02-16,226780.53,varejo,online
2,4,2025-02-26,98721.19,transporte,fisico
2,4,2025-02-28,202517.16,transporte,fisico
2,4,2025-03-21,101834.41,varejo,fisico
2,4,2025-03-26,102543.09,varejo,online
2,4,2025-03-12,69212.32,varejo,online
2,4,2025-03-08,232731.81,varejo,fisico
2,4,2025-04-27,44144.59,streaming,online
2,4,2025-04-09,223245.67,alimentacao,fisico
2,4,2025-04-11,24222.19,streaming,online
3,17,2025-01-17,23862.62,transporte,online
3,17,2025-01-22,101477.79,varejo,fisico
3,17,2025-01-04,83066.77,transporte,online
3,17,2025-02-19,105049.48,alimentacao,fisico
3,17,2025-03-23,205044.25,streaming,online
3,17,2025-03-27,176716.45,transporte,online
3,17,2025-03-18,19165.58,varejo,online
3,17,2025-03-22,39620.60,streaming,online
3,17,2025-04-13,195581.18,alimentacao,fisico
3,17,2025-04-28,14237.39,varejo,fisico
3,17,2025-04-01,136888.81,varejo,fisico
4,18,2025-01-23,26380.65,varejo,fisico
4,18,2025-02-03,19799.70,alimentacao,online
4,18,2025-02-10,150349.77,transporte,online
4,18,2025-02-20,223573.59,transporte,fisico
4,18,2025-02-01,86623.37,alimentacao,fisico
4,18,2025-02-15,162820.90,streaming,fisico
4,18,2025-03-16,64112.17,streaming,fisico
4,18,2025-03-24,69096.22,varejo,online
4,18,2025-03-20,80488.04,varejo,fisico
4,18,2025-03-12,8778.14,jogos,fisico
4,18,2025-03-19,131277.69,streaming,online
4,18,2025-04-07,225510.56,varejo,fisico
4,18,2025-04-11,204891.30,streaming,fisico
4,18,2025-04-18,104050.22,streaming,fisico
4,18,2025-04-06,81940.12,varejo,online
5,20,2025-01-19,118879.11,jogos,online
5,20,2025-01-03,197754.82,streaming,fisico
5,20,2025-02-14,130375.18,transporte,fisico
5,20,2025-02-02,33347.87,jogos,online
5,20,2025-02-08,112499.14,transporte,online
5,20,2025-03-03,59598.48,jogos,online
5,20,2025-03-19,166002.13,streaming,online
5,20,2025-03-04,130032.76,streaming,online
5,20,2025-03-05,99147.37,transporte,fisico
5,20,2025-03-08,58988.92,transporte,fisico
5,20,2025-03-11,168415.43,alimentacao,fisico
5,20,2025-03-26,131524.28,transporte,online
5,20,2025-03-23,126478.18,alimentacao,fisico
5,20,2025-04-05,125747.62,transporte,online
5,20,2025-04-21,232817.06,alimentacao,fisico
5,20,2025-04-14,224529.65,jogos,fisico
6,22,2025-01-27,112437.41,streaming,fisico
6,22,2025-01-04,122958.19,transporte,fisico
6,22,2025-02-16,57774.85,transporte,online
6,22,2025-02-07,81385.14,varejo,online
6,22,2025-02-12,38241.44,jogos,fisico
